,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
507,Coby White,SG,22,CHI,74,2,1730,263,594,128,344,135,250,61,70,16,196,212,204,54,6,74,122,715
508,Derrick White,SG,28,BOS,82,70,2319,350,758,149,391,201,367,168,192,52,241,293,321,54,76,95,177,1017
509,Jack White,SF,25,DEN,17,0,66,8,19,3,9,5,10,2,3,6,11,17,4,3,2,2,9,21
510,Joe Wieskamp,SF,23,TOR,9,0,50,3,14,3,12,0,2,0,0,0,4,4,3,0,0,1,3,9
511,Aaron Wiggins,SG,24,OKC,70,14,1297,186,363,48,122,138,241,59,71,68,142,210,80,39,15,55,110,479
512,Andrew Wiggins,SF,27,GSW,37,37,1190,250,529,89,225,161,304,44,72,61,125,186,85,45,28,48,107,633
513,Lindell Wigginton,PG,24,MIL,7,1,87,18,37,6,18,12,19,8,9,0,7,7,14,0,2,12,7,50
514,Alondes Williams,SG,23,BRK,1,0,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0
515,Donovan Williams,SG,21,ATL,2,0,4,2,5,0,2,2,3,0,0,0,2,2,0,0,0,0,0,4
516,Grant Williams,PF,24,BOS,79,23,2045,216,476,115,291,101,185,94,122,87,276,363,131,41,31,82,192,641
517,Jalen Williams,SG,21,OKC,75,62,2276,414,794,73,205,341,589,155,191,84,253,337,248,103,35,123,191,1056
518,Jaylin Williams,C,20,OKC,49,36,914,102,234,46,113,56,121,38,54,44,197,241,76,28,12,37,111,288
519,Jeenathan Williams,SG,23,POR,5,4,127,24,39,3,8,21,31,2,3,10,5,15,10,3,2,4,13,53
520,Kenrich Williams,PF,28,OKC,53,10,1206,179,346,50,134,129,212,17,39,97,164,261,105,45,14,32,112,425
521,Mark Williams,C,21,CHO,43,17,828,160,251,0,0,160,251,67,97,93,211,304,18,28,45,40,94,387
522,Patrick Williams,PF,21,CHI,82,65,2323,314,677,115,277,199,400,90,105,78,249,327,100,72,70,101,147,833
523,Robert Williams,C,25,BOS,35,20,824,127,170,0,1,127,169,25,41,104,188,292,50,22,48,34,68,279
524,Vince Williams Jr.,SG,22,MEM,15,1,105,12,40,4,28,8,12,2,2,4,11,15,4,6,2,5,12,30
525,Ziaire Williams,SF,21,MEM,37,4,561,84,196,25,97,59,99,17,22,16,63,79,35,14,6,37,58,210
526,Zion Williamson,PF,22,NOP,29,29,956,285,469,7,19,278,450,177,248,58,144,202,133,32,16,99,65,754
527,Dylan Windler,SF,26,CLE,3,0,10,2,3,1,2,1,1,0,0,0,0,0,1,1,0,1,0,5
528,Justise Winslow,PF,26,POR,29,11,776,81,198,14,45,67,153,20,28,49,96,145,98,30,11,43,89,196
529,James Wiseman,C,21,TOT,45,22,867,189,339,4,20,185,319,68,97,73,194,267,30,7,27,51,108,450
530,Christian Wood,C,27,DAL,67,17,1738,396,769,105,279,291,490,217,281,87,404,491,121,30,72,121,169,1114
531,Delon Wright,PG,30,WAS,50,14,1221,138,291,41,119,97,172,52,60,58,122,180,194,92,17,44,59,369
532,McKinley Wright IV,PG,24,DAL,27,1,335,46,98,9,28,37,70,13,19,9,38,47,58,8,5,19,24,114
533,Gabe York,SG,29,IND,3,0,56,8,21,6,18,2,3,2,2,0,6,6,5,2,0,0,5,24
534,Thaddeus Young,PF,34,TOR,54,9,795,108,198,6,34,102,164,18,26,71,95,166,75,54,5,42,88,240
535,Trae Young,PG,24,ATL,73,73,2541,597,1390,154,460,443,930,566,639,56,161,217,741,80,9,300,104,1914
536,Omer Yurtseven,C,24,MIA,9,0,83,16,27,3,7,13,20,5,6,8,15,23,2,2,2,4,16,40
537,Cody Zeller,C,30,MIA,15,2,217,37,59,0,2,37,57,24,35,25,39,64,10,3,4,14,33,98
538,Ivica Zubac,C,25,LAC,76,76,2170,326,514,0,2,326,512,166,238,236,520,756,77,29,98,117,219,818
